"","simTime","serviceTime"
"1",960,0.0425530203050603
"2",1020,0.043162316835627
"3",1080,0.0423305456115963
"4",1140,0.0418041443226492
"5",1200,0.0410615954167468
"6",1260,0.0412035980434352
"7",1320,0.037821033115969
"8",1380,0.0388288799502456
"9",1440,0.039691887060392
"10",1500,0.0402138310473292
"11",1560,0.0396157421782094
"12",1620,0.0400011761911126
"13",1680,0.0400078498982146
"14",1740,0.0396033132003407
"15",1800,0.0369392206981535
"16",1860,0.0384463681039975
"17",1920,0.0401244917520342
"18",1980,0.0371228254209651
"19",2040,0.0377402880909393
"20",2100,0.0372179635782165
"21",2160,0.0383661970418315
"22",2220,0.0389047210647749
"23",2280,0.0416447022925758
"24",2340,0.0383986136806165
"25",2400,0.0408776913583265
"26",2460,0.0383008681400202
"27",2520,0.0404788946067358
"28",2580,0.0373494076389421
"29",2640,0.0374973325633663
"30",2700,0.0380108877178976
"31",2760,0.0389638974445945
"32",2820,0.0377973597517229
"33",2880,0.0371149441623053
"34",2940,0.0398812592625224
"35",3000,0.037863259976071
"36",3060,0.0389953547204609
"37",3120,0.0390829722524223
"38",3180,0.039174054251788
"39",3240,0.039523667107179
"40",3300,0.0389128275996623
"41",3360,0.0391207546185096
"42",3420,0.0387663151652592
"43",3480,0.0387377401579788
"44",3540,0.0390555198874214
"45",3600,0.0393566043474872
"46",3660,0.0373420295187761
"47",3720,0.0382402210889794
"48",3780,0.0388404427385591
"49",3840,0.0385208690818984
"50",3900,0.0391398518526895
"51",3960,0.0385212559793519
"52",4020,0.0394872611442362
"53",4080,0.0396521413431635
"54",4140,0.0456146861153026
"55",4200,0.0363782975666583
"56",4260,0.0465878478335442
"57",4320,0.0430294359377435
"58",4380,0.0415035644342933
"59",4440,0.0412677074926207
"60",4500,0.0391444291730376
"61",4560,0.0398640850294231
"62",4620,0.0385227185650513
"63",4680,0.0391951868775735
"64",4740,0.039469476785985
"65",4800,0.0312931338901677
"66",4860,0.0194838841632972
"67",4920,0.029084641934717
"68",4980,0.0391849099309055
"69",5040,0.0397433648477566
"70",5100,0.038933038507873
"71",5160,0.0388087528619332
"72",5220,0.0293619522548658
"73",5280,0.0384118143364329
"74",5340,0.0379895878385689
"75",5400,0.038626500794079
"76",5460,0.0389967406391238
"77",5520,0.0393820784995491
"78",5580,0.0391464434543304
"79",5640,0.0385066620826038
"80",5700,0.0381713413520025
"81",5760,0.038183266415648
"82",5820,0.0390110815101171
"83",5880,0.0386569241428267
"84",5940,0.0291559340070132
"85",6000,0.0395173960369058
"86",6060,0.0382226884770465
"87",6120,0.0389473870366001
"88",6180,0.0378284171761313
"89",6240,0.0384315798910922
"90",6300,0.038223014739761
